流水號,課程名稱,授課教師,時間&教室,課程連結
1025,大學國文：文學鑑賞與寫作（一）,葉叡宸,"二3,4,5(新401)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=42&dpt_code=0000&ser_no=01025&semester=113-1&lang=CH
1026,大學國文：文學鑑賞與寫作（一）,葉常泓,"二3,4,5(新404)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=43&dpt_code=0000&ser_no=01026&semester=113-1&lang=CH
1064,大學國文：先秦兩漢文選上,張素卿,"一7,8,9(文16)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2081011&class=02&dpt_code=1010&ser_no=01064&semester=113-1&lang=CH
1037,大學國文：閱讀與寫作（一）,李馥名,"五7,8,9(普404)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=01&dpt_code=0000&ser_no=01037&semester=113-1&lang=CH
1038,大學國文：閱讀與寫作（一）,吳曉昀,"一1,2(普402) 四1,2(普402)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=05&dpt_code=0000&ser_no=01038&semester=113-1&lang=CH
1039,大學國文：閱讀與寫作（一）,沈芳如,"一1,2(普204) 四1,2(普204)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=06&dpt_code=0000&ser_no=01039&semester=113-1&lang=CH
1040,大學國文：閱讀與寫作（一）,羅聖堡,"一7,8,9(共406)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=07&dpt_code=0000&ser_no=01040&semester=113-1&lang=CH
1041,大學國文：閱讀與寫作（一）,林宏佳,"一7,8,9(新401)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=08&dpt_code=0000&ser_no=01041&semester=113-1&lang=CH
1042,大學國文：閱讀與寫作（一）,蔡瑩瑩,"一7,8,9(普501)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=12&dpt_code=0000&ser_no=01042&semester=113-1&lang=CH
1043,大學國文：閱讀與寫作（一）,魏千鈞,"四7,8,9(普306)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=13&dpt_code=0000&ser_no=01043&semester=113-1&lang=CH
1044,大學國文：閱讀與寫作（一）,簡凱廷,"二8,9,10(普403)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=14&dpt_code=0000&ser_no=01044&semester=113-1&lang=CH
1045,大學國文：閱讀與寫作（一）,賴昶亘,"二8,9,10(普502)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=15&dpt_code=0000&ser_no=01045&semester=113-1&lang=CH
1046,大學國文：閱讀與寫作（一）,羅聖堡,"二8,9,10(博雅406)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=16&dpt_code=0000&ser_no=01046&semester=113-1&lang=CH
1047,大學國文：閱讀與寫作（一）,簡凱廷,"二3,4,5(博雅312)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=17&dpt_code=0000&ser_no=01047&semester=113-1&lang=CH
1048,大學國文：閱讀與寫作（一）,楊晉綺,"三7,8,9(普305)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080130&class=20&dpt_code=0000&ser_no=01048&semester=113-1&lang=CH
14522,大學部實習專題,莊哲明,"四A,B(電二146)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2030170&class=&dpt_code=9010&ser_no=14522&semester=113-1&lang=CH
80533,小故事，大世界,李維晏,"三6,7,8(博雅301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=Q01%20U0580&class=01&dpt_code=Q010&ser_no=80533&semester=113-1&lang=CH
43800,小故事，大世界,李維晏,"三7,8,9(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=Q01%20U0580&class=02&dpt_code=Q010&ser_no=43800&semester=113-1&lang=CH
40880,工程數值與數學方法,詹益齊,"二3,4,5(土研405)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=521%20M7390&class=&dpt_code=5213&ser_no=40880&semester=113-1&lang=CH
18372,工程數學-微分方程(一),黃天偉,"三3,4(電二106)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2020130&class=02&dpt_code=9010&ser_no=18372&semester=113-1&lang=CH
28188,工程數學-微分方程(一),黃定洧,"三3,4(電二144)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2020130&class=03&dpt_code=9010&ser_no=28188&semester=113-1&lang=CH
38434,工程數學-微分方程(一),丁建均,"三3,4(明達205)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2020130&class=04&dpt_code=9010&ser_no=38434&semester=113-1&lang=CH
49540,工程數學-線性代數,蘇柏青,"五2,3,4(明達205)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2010030&class=02&dpt_code=9010&ser_no=49540&semester=113-1&lang=CH
26787,工程數學-線性代數,馮世邁,"五2,3,4(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=901%2010030&class=05&dpt_code=9010&ser_no=26787&semester=113-1&lang=CH
47430,工程數學1,張書瑋,"四3,4(新505)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=501%2012010&class=02&dpt_code=5010&ser_no=47430&semester=113-1&lang=CH
76099,工程數學1,科 林,"四3,4(普504)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=501%2012010&class=03&dpt_code=5010&ser_no=76099&semester=113-1&lang=CH
